id,title,companyName,listingDate,locations,salaryLabel,teaser
85265710,"Institutional Corporate Sales, Institutional Equities (6-month Full-time Intern)",China Merchants Securities International Company Limited,2025-06-30T07:48:43Z,"Central, Central and Western District",,"To support business growth and talent development, we are opening this Corporate Client Sales position as a 6-month full-time internship."
85219207,Project Manager (Research),Tiptop Consultants Pte Ltd,2025-07-02T08:42:20Z,"Lai Chi Kok, Sham Shui Po District",,"Join our team and lead meaningful research projects! Take charge of project management, and deliver valuable insights to our clients."
85194117,"Analyst, Specialist, Data/Business Analytics (Campaign Management)",DBS Bank,2025-06-26T06:21:40Z,"Quarry Bay, Eastern District",,Minimum 5 years of data analytics experience with strong programming skill in SQL and Python
85426139,Marketing Executive,,2025-07-03T04:38:29Z,"Cheung Sha Wan, Sham Shui Po District","$20,000 – $30,000 per month",1
74055325,Business Data Analyst,Datacube Research Centre Limited,2025-03-24T04:03:30Z,"Kwun Tong, Kwun Tong District",,"




 Responsible for Data mining in finance, insurance, retail, Internet of Things (IoT) and other fields, mining the core business value in..."
84663191,"Senior Analyst, Application Solutions 應用系統方案高級分析主任",Modern Terminals Ltd,2025-06-03T09:04:16Z,"Kwai Chung, Kwai Tsing District",,The job holder's major responsibility is to lead and manage IT application solution projects and monitor the performance
84862057,Data Engineer,Lenovo PCCW Solutions,2025-06-12T02:55:53Z,"Tai Kok Tsui, Yau Tsim Mong District","$40,000 – $50,000 per month","Successful candidate will be providing technical services covering solution design, project implementation, systems support in eMPF project.

"
84752746,Marketing Executive - CRM Loyalty Program,Hutchison Telecommunications,2025-06-06T09:39:31Z,"Tsing Yi, Kwai Tsing District",,"CRM segment project base, data analysis, figure sense, detail-oriented and excellent communication skill.  NO telecom experience will be considered. "
85098385,Investment Analyst – Asset Management – Hong Kong,Nicoll Curtin Technology,2025-06-23T05:27:14Z,Hong Kong Island,"$540,000 – $720,000 per year","A fantastic opportunity for a junior, aspiring Research Analyst to join a leading Asian Asset Manager"
85263993,"Manager, Data Analytics and Strategic Planning (CRM, up to 50k)",Nesta (Hong Kong) Limited,2025-06-30T06:52:51Z,Hong Kong Island,"$45,000 – $50,000 per month",The role involves helping to create a digital and data strategy to support the company's transformation.
84983405,"Assistant Manager, Research and Analytics",Hong Kong Productivity Council,2025-06-17T09:50:12Z,"Kowloon Tong, Kowloon City District",,Work with internal departments and/ or external vendors to develop AI tools
85051513,Performance Specialist | Digital | Media Agency (Fresh Graduate Welcome),Fabcom Limited,2025-06-20T01:57:33Z,"Kowloon Bay, Kwun Tong District",,"Develop in-depth knowledge and hands-on experience in social advertising, programmatic display and other related fields."
85165414,Business Analyst / Project Manager (Entertainment client),DB Results,2025-06-25T07:16:33Z,"Happy Valley, Wan Chai District",,"We are seeking a driven Business Analyst / Project Manager to join our team, supporting a leading client in the entertainment sector."
84711395,"Business Analyst - Data Migration Project- HKD 35,000 - 45,000/Month",Techforce Group,2025-06-05T02:54:46Z,Hong Kong SAR,"$35,000 – $45,000 per month","Work with Data Engineers team to extract data for data mapping, data heath check, data processing, analysis and reports. "
84652357,Digital Technology Business Analyst – Wealth Management,Pinpoint Asia Limited,2025-06-03T03:43:41Z,"Admiralty, Central and Western District","$50,000 – $70,000 per month",You will bridge the gap between business needs and innovative digital technology solutions
